;score; predict
Bzip2 @bzip2;0,89804;0.8835023
Crypt @bzip2;0,96456;0.9490839
Cat@bzip2;0,72311;0.6851501
cp@bzip2;0,7194;0.6478556
dd@bzip2;0,86792;0.7745200
Grep@bzip2;0,98721;0.9877190
Gzip@bzip2;0,8858;0.9045358
Bzip2 @crypt;0,83036;0.8842751
Crypt @crypt;0,89083;0.9644145
Cat @ crypt;0,67006;0.6466364
cp @ crypt;0,65447;0.6584074
dd @ crypt;0,75175;0.7950432
Grep @ crypt;0,9548;0.9833041
Gzip @ crypt;0,80484;0.8956415
Bzip2 @ cat;0,49236;0.4973313
Crypt @ cat;0,66915;0.6752710
Cat @ cat;0,44676;0.4667813
cp @ cat;0,46047;0.4610065
dd @ cat;0,7391;0.7894762
Grep @ cat;0,77656;0.7874041
Gzip @ cat;0,4199;0.4531797
Bzip2 @ cp;0,49888;0.4906157
Crypt @ cp;0,70253;0.6563151
Cat @ cp;0,44582;0.4724005
cp @ cp;0,44872;0.4688054
dd @ cp;0,74891;0.7954018
Grep @ cp;0,79666;0.7688851
Gzip @ cp;0,42422;0.4487643
Bzip2 @ dd;0,27052;0.2989773
Crypt @ dd;0,38687;0.2691293
Cat@ dd;0,1988;0.2561297
cp @ dd;0,19726;0.2590807
dd @ dd;0,46986;0.7757849
Grep @ dd;0,49395;0.2913258
Gzip@ dd;0,21862;0.3097829
Bzip2 @ grep;0,99793;0.8634257
Crypt@ grep;0,99196;0.5798983
Cat@ grep;0,80161;0.7649244
cp@ grep;0,79074;0.7748426
dd @ grep;0,83803;0.7803348
Grep@ grep;0,98834;0.9849811
Gzip@ grep;0,98588;0.8873733
Bzip2 @gzip;0,85923;0.8693139
Crypt@gzip;0,95147;0.9547460
Cat@gzip;0,42494;0.6881334
cp@gzip;0,68386;0.5465208
dd @ gzip;0,80192;0.7830651
Grep @ gzip;0,99186;0.9845879
Gzip @ gzip;0,87393;0.8834466
